id,from,to,article_ids,weight
202,Ban Nha,bảo tàng văn hóa Oaxaca,[93],1
203,Ban Nha,nhà thờ Oaxaka,[93],1
204,Ban Nha,quảng trường Zocalo,[93],1
205,Ban Quản lý các khu công nghiệp tỉnh Bắc Giang,Lê Ánh Dương,[0],1
206,Ban Quản lý các khu công nghiệp tỉnh Bắc Giang,Nguyễn Chí Dũng,[0],1
207,Ban Quản lý các khu công nghiệp tỉnh Bắc Giang,Ủy ban Nhân dân tỉnh Bắc Giang,[0],1
208,Ban Quản lý dự án Mỹ Thuận,Bình Chánh,[64],1
209,Ban Quản lý dự án Mỹ Thuận,Bình Dương,[64],1
210,Ban Quản lý dự án Mỹ Thuận,Bộ Tài nguyên và Môi trường,[64],1
211,Ban Quản lý dự án Mỹ Thuận,Dầu Giây,[64],1
212,Ban Quản lý dự án Mỹ Thuận,Hóc Môn,[64],1
213,Ban Quản lý dự án Mỹ Thuận,Khu công nghiệp An Hạ,[64],1
214,Ban Quản lý dự án Mỹ Thuận,Long An,[64],1
215,Ban Quản lý dự án Mỹ Thuận,Long Thành,[64],1
216,Ban Quản lý dự án Mỹ Thuận,Long Thạnh Mỹ,[64],1
217,Ban Quản lý dự án Mỹ Thuận,TP Thủ Đức,[64],1
218,Ban Quản lý dự án Mỹ Thuận,UBND TP . HCM,[64],1
219,Ban Quản lý dự án Mỹ Thuận,UBND tỉnh Long An,[64],1
220,Ban Quản lý dự án Mỹ Thuận,cao tốc TP . HCM,[64],1
221,Ban Quản lý dự án Mỹ Thuận,cầu Nhơn Trạch,[64],1
222,Ban Quản lý dự án Mỹ Thuận,huyện Bình Chánh,[64],1
223,Ban Quản lý dự án Mỹ Thuận,huyện Củ Chi,[64],1
224,Ban Quản lý dự án Mỹ Thuận,huyện Hóc Môn,[64],1
225,Ban Quản lý dự án Mỹ Thuận,phường Long Bình,[64],1
226,Ban Quản lý dự án Mỹ Thuận,sông Đồng Nai,[64],1
227,Ban Quản lý dự án Mỹ Thuận,tỉnh lộ 25B,[64],1
228,Ban Quản lý dự án Mỹ Thuận,tỉnh Đồng Nai,[64],1
229,Ban Quản lý dự án Mỹ Thuận,xã Phạm Văn Hai,[64],1
230,Ban Quản lý dự án Mỹ Thuận,xã Tân Thạnh Tây,[64],1
231,Ban Quản lý dự án Mỹ Thuận,xã Xuân Thới Đông,[64],1
232,Ban Quản lý dự án Mỹ Thuận,Đồng Nai,[64],1
233,Ban quản lý cảng Hòn Rớ,Huỳnh Điệm,[65],1
234,Ban quản lý cảng Hòn Rớ,Khánh Hòa,[65],1
235,Ban quản lý cảng Hòn Rớ,Nguyễn Ngọc Hội,[65],1
236,Ban quản lý cảng Hòn Rớ,Nguyễn Trung Hiếu,[65],1
237,Ban quản lý cảng Hòn Rớ,Nguyễn Văn Khôi,[65],1
238,Ban quản lý cảng Hòn Rớ,THỤC NGHI,[65],1
239,Ban quản lý cảng Hòn Rớ,TP Nha Trang,[65],1
240,Ban quản lý cảng Hòn Rớ,phường Vĩnh Phước,[65],1
241,Ban quản lý cảng Hòn Rớ,xã Phước Đồng,[65],1
242,Ban quản lý dự án Mỹ Thuận,Bộ Giao thông vận tải,[72],1
243,Ban quản lý dự án Mỹ Thuận,Hàn Quốc,[72],1
244,Ban quản lý dự án Mỹ Thuận,Quỹ hợp tác phát triển kinh tế Hàn Quốc,[72],1
245,Ban quản lý dự án Mỹ Thuận,cao tốc Mỹ An,[72],1
246,Ban quản lý dự án Mỹ Thuận,cao tốc Mỹ An - Cao Lãnh,[72],1
247,Ban quản lý dự án Mỹ Thuận,cầu Cao Lãnh,[72],1
248,Ban quản lý dự án Mỹ Thuận,huyện Cao Lãnh,[72],1
249,Ban quản lý dự án Mỹ Thuận,huyện Tháp Mười,[72],1
250,Ban quản lý dự án Mỹ Thuận,nút giao An Bình,[72],1
251,Ban quản lý dự án Mỹ Thuận,thị trấn Mỹ An,[72],1
252,Ban quản lý dự án Mỹ Thuận,tỉnh Đồng Tháp,[72],1
253,Ban quản lý dự án Mỹ Thuận,đường Hồ Chí Minh,[72],1
254,Ban quản lý dự án Mỹ Thuận,đường cao tốc Bắc -,[72],1
255,Ban quản lý dự án Mỹ Thuận,đường cao tốc Mỹ An,[72],1
256,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Công ty TNHH Công nghệ Jinko Solar Việt Nam,[59],1
257,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Công ty TNHH Dệt may Weitai Hạ Long,[59],1
258,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Công ty TNHH may mặc Hoa Lợi Đạt,[59],1
259,Ban quản lý khu kinh tế tỉnh Quảng Ninh,HÀ QUÂN,[59],1
260,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Khu công nghiệp Hải Hà,[59],1
261,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Khu công nghiệp Việt Hưng,[59],1
262,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Liên đoàn Lao động tỉnh Quảng Ninh,[59],1
263,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Ma Shu Min,[59],1
264,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Móng Cá,[59],1
265,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Nghệ An,[59],1
266,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Quảng Ninh,[59],1
267,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Sở Lao động - Thương binh và Xã hội tỉnh Quảng Ninh,[59],1
268,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Sở Lao động - Thương binh và xã hội Nghệ An,[59],1
269,Ban quản lý khu kinh tế tỉnh Quảng Ninh,TP Hạ Long,[59],1
270,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Trung Quốc,[59],1
271,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Việt Nam,[59],1
272,Ban quản lý khu kinh tế tỉnh Quảng Ninh,Zhang Shu Xia,[59],1
273,Ben Wallace,Bộ Quốc phòng,[80],1
274,Ben Wallace,Rishi Sunak,[80],1
275,Ben Wallace,Sky News,[80],1
276,Ben Wallace,Trung Quốc,[80],1
277,Ben Wallace,Volodymyr Zelensky,[80],1
278,Berghaus Anh,Chỉ số Tỉ phú,[91],1
279,Berghaus Anh,Công ty thương mại XTX Markets,[91],1
280,Berghaus Anh,Deutsche Bank AG,[91],1
281,Berghaus Anh,JK Rowling Potter,[91],1
282,Berghaus Anh,New York,[91],1
283,Berghaus Anh,Đại học Tổng hợp Mátxcơva,[91],1
284,Berghaus Anh,Ấn Độ,[91],1
285,Berkeley Earth,Nam Phi,[95],1
286,Berkeley Earth,Rob Jackson,[95],1
287,Berkeley Earth,Đại học Brown,[95],1
288,Berkeley Earth,Đại học Stanford,[95],1
289,Bill Nelson,Bob Pearce,[101],1
290,Bill Nelson,Joe Biden,[101],1
291,Bill Nelson,Todd Citron,[101],1
292,Bill Nelson,Transonic Trus Wing,[101],1
293,Billboard Global Ex,Billboard Japan,[30],1
294,Billboard Global Ex,Vương quốc Anh,[30],1
295,Biển Bắc,OPEC +,[3],1
296,Biển Bắc,Stefano Grasso,[3],1
297,Biển Bắc,Tổ chức các Nước Xuất khẩu Dầu mỏ,[3],1
298,Biển Bắc,thành phố Isfahan,[3],1
299,Biển Bắc,Đài truyền hình quốc gia IRIB,[3],1
300,Biển Đông,Bình Thuận,[53],1
301,Biển Đông,Cà Mau,[53],1
302,Biển Đông,NGỌC THÀNH,[53],1
303,Biển Đông,Nghệ An,[53],1
304,Biển Đông,Ninh Thuận,[53],1
305,Biển Đông,Thanh Hóa,[53],1
306,Biển Đông,Thủ đô Hà Nội,[53],1
307,Biển Đông,Thừa Thiên Huế,[53],1
308,Biển Đông,Tây Bắc Bộ,[53],1
309,Biển Đông,Tây Nguyên,[53],1
310,Biển Đông,miền Đông,[53],1
311,Biển Đông,quần đảo Trường Sa,[53],1
312,Biển Đông,Đà Nẵng,[53],1
313,Biển Đông,Đông Bắc Bộ,[53],1
314,Bob Pearce,Todd Citron,[101],1
315,Boris Pistorius,Sergei Lavrov,[82],1
316,Born Pink,Guinness World Records,[31],1
317,Born Pink,MTV Europe Music,[31],1
318,Born Pink,PUBG Mobile,[31],1
319,Brian Jack,Chris LaCivita,[99],1
320,Brian Jack,Dan Scavino,[99],1
321,Brian Jack,Ron DeSantis,[99],1
322,British Academy of Film and Television Arts,Viện Hàn lâm Nghệ thuật Điện ảnh và Truyền hình Anh,[27],1
323,British Academy of Film and Television Arts,tiếng Anh,[27],1
324,Bà Rịa - Vũng Tàu,Bộ Công Thương,[9],1
325,Bà Rịa - Vũng Tàu,Cần Thơ,[9],1
326,Bà Rịa - Vũng Tàu,Hoàng Ánh Dương,[9],1
327,Bà Rịa - Vũng Tàu,Hoàng Ánh Dương Quản lý thị trường,[10],1
328,Bà Rịa - Vũng Tàu,Lâm Văn Hồng,[68],1
329,Bà Rịa - Vũng Tàu,Nguyễn Minh Thương,[68],1
330,Bà Rịa - Vũng Tàu,Nguyễn Tấn Thành,[68],1
331,Bà Rịa - Vũng Tàu,Thúy Hiền,[10],1
332,Bà Rịa - Vũng Tàu,Tổng cục Quản lý thị trường,[9],1
333,Bà Rịa - Vũng Tàu,Tổng cục Thống kê,[13],1
334,Bà Rịa - Vũng Tàu,UBND huyện Long Điền,[68],1
335,Bà Rịa - Vũng Tàu,Vietnam +,[10],1
336,Bà Rịa - Vũng Tàu,Việt Nam,[9],1
337,Bà Rịa - Vũng Tàu,châu Âu,[68],1
338,Bà Rịa - Vũng Tàu,Đồn biên phòng Phước Tỉnh,[68],1
339,Bà Rịa - Vũng Tàu,Ủy ban châu Âu,[68],1
340,Báo Quân Đội Nhân Dân,"Bộ Lao động , Thương binh và Xã hội",[70],1
341,Báo Quân Đội Nhân Dân,Bộ Quốc phòng,[70],1
